tf_symbol,gene,effect,activity_multiplier,tissue,evidence
SP1,FMR1,represses,1.94,skin,ChIP-seq
TBP,FMR1,activates,0.99,ubiquitous,ChIP-seq
HIF1A,FMR1,activates,1.75,ubiquitous,ChIP-seq
TBP,MECP2,activates,1.8,breast,ChIP-seq
CREB1,MECP2,activates,2.32,blood,ChIP-seq
YY1,MECP2,activates,2.55,lung,ChIP-seq
E2F1,MECP2,activates,1.94,colon,ChIP-seq
CREB1,APOE,represses,0.96,pancreas,ChIP-seq
STAT3,APOE,represses,1.42,bone_marrow,ChIP-seq
TBP,APP,activates,1.7,liver,ChIP-seq
HIF1A,APP,activates,1.53,pancreas,ChIP-seq
CREB1,PSEN1,represses,0.51,lung,ChIP-seq
YY1,PSEN1,represses,1.76,blood,ChIP-seq
YY1,SNCA,activates,2.74,kidney,ChIP-seq
GATA1,SNCA,activates,1.85,pancreas,ChIP-seq
HIF1A,SNCA,represses,1.35,muscle,ChIP-seq
HIF1A,LRRK2,activates,1.9,bone_marrow,ChIP-seq
NFKB1,LRRK2,activates,2.64,blood,ChIP-seq
GATA1,LRRK2,represses,1.53,colon,ChIP-seq
TBP,LRRK2,represses,2.87,muscle,ChIP-seq
CTCF,SOD1,activates,1.82,breast,ChIP-seq
NFKB1,SOD1,activates,0.75,kidney,ChIP-seq
HIF1A,G6PD,activates,0.58,lung,ChIP-seq
STAT3,G6PD,activates,2.45,kidney,ChIP-seq
TBP,G6PD,activates,2.09,brain,ChIP-seq
CTCF,LDLR,activates,1.02,breast,ChIP-seq
YY1,LDLR,represses,1.52,pancreas,ChIP-seq
GATA1,LDLR,activates,0.38,colon,ChIP-seq
CREB1,MLH1,activates,1.62,breast,ChIP-seq
YY1,MLH1,activates,1.51,liver,ChIP-seq
SP1,MLH1,activates,0.96,bone_marrow,ChIP-seq
CTCF,MLH1,activates,1.23,ubiquitous,ChIP-seq
GATA1,MSH2,activates,1.91,brain,ChIP-seq
CREB1,MSH2,represses,0.78,liver,ChIP-seq
GATA1,VHL,activates,0.8,liver,ChIP-seq
TBP,VHL,activates,2.52,muscle,ChIP-seq
SP1,VHL,activates,0.44,blood,ChIP-seq
CREB1,VHL,represses,2.98,brain,ChIP-seq
CTCF,NF1,represses,2.08,blood,ChIP-seq
TBP,NF1,represses,0.31,pancreas,ChIP-seq
HIF1A,NF2,represses,1.02,blood,ChIP-seq
TBP,NF2,activates,1.91,kidney,ChIP-seq
E2F1,TSC1,activates,1.85,liver,ChIP-seq
CREB1,TSC1,represses,0.41,blood,ChIP-seq
SP1,TSC1,activates,1.05,kidney,ChIP-seq
GATA1,TSC1,activates,0.55,colon,ChIP-seq
E2F1,TSC2,activates,2.64,liver,ChIP-seq
CREB1,TSC2,activates,0.45,skin,ChIP-seq
CTCF,FBN1,activates,0.91,brain,ChIP-seq
STAT3,FBN1,activates,0.72,ubiquitous,ChIP-seq
NFKB1,FBN1,represses,2.55,pancreas,ChIP-seq
GATA1,FBN1,represses,0.81,kidney,ChIP-seq
CREB1,COL1A1,activates,2.08,blood,ChIP-seq
SP1,COL1A1,represses,1.79,skin,ChIP-seq
CTCF,COL1A1,represses,0.81,ubiquitous,ChIP-seq
E2F1,COL1A1,represses,2.39,liver,ChIP-seq
TBP,PAH,represses,0.69,bone_marrow,ChIP-seq
GATA1,PAH,activates,1.02,kidney,ChIP-seq
CTCF,PAH,represses,1.19,bone_marrow,ChIP-seq
TBP,GBA,activates,0.42,liver,ChIP-seq
CTCF,GBA,activates,0.96,muscle,ChIP-seq
GATA1,GBA,represses,0.77,kidney,ChIP-seq
YY1,SMN1,represses,2.9,ubiquitous,ChIP-seq
NFKB1,SMN1,represses,3.0,pancreas,ChIP-seq
TBP,SMN1,activates,1.85,ubiquitous,ChIP-seq
STAT3,SMN1,activates,1.37,liver,ChIP-seq
CTCF,ATM,activates,2.13,ubiquitous,ChIP-seq
E2F1,ATM,activates,2.0,bone_marrow,ChIP-seq
E2F1,WT1,activates,2.92,skin,ChIP-seq
HIF1A,WT1,activates,0.99,pancreas,ChIP-seq
NFKB1,WT1,activates,2.47,pancreas,ChIP-seq
E2F1,MEN1,activates,2.12,bone_marrow,ChIP-seq
TBP,MEN1,activates,2.84,brain,ChIP-seq
HIF1A,MEN1,represses,2.69,skin,ChIP-seq
SP1,MEN1,represses,0.47,pancreas,ChIP-seq
YY1,RET,represses,1.62,muscle,ChIP-seq
HIF1A,RET,activates,1.5,breast,ChIP-seq
NFKB1,RET,activates,1.29,bone_marrow,ChIP-seq
NFKB1,KIT,activates,1.88,breast,ChIP-seq
STAT3,KIT,activates,1.91,lung,ChIP-seq
SP1,ABL1,activates,0.34,lung,ChIP-seq
E2F1,ABL1,activates,0.61,brain,ChIP-seq
SP1,BCR,activates,1.62,pancreas,ChIP-seq
CTCF,BCR,represses,0.7,blood,ChIP-seq
GATA1,BCR,activates,2.22,muscle,ChIP-seq
HIF1A,FLT3,activates,0.56,muscle,ChIP-seq
E2F1,FLT3,activates,0.71,pancreas,ChIP-seq
YY1,JAK2,activates,2.11,muscle,ChIP-seq
SP1,JAK2,activates,1.44,ubiquitous,ChIP-seq
GATA1,IDH1,represses,1.05,breast,ChIP-seq
STAT3,IDH1,activates,2.37,kidney,ChIP-seq
TBP,IDH1,activates,1.94,bone_marrow,ChIP-seq
NFKB1,IDH1,represses,1.04,lung,ChIP-seq
HIF1A,CDKN2A,activates,2.4,kidney,ChIP-seq
GATA1,CDKN2A,represses,0.73,kidney,ChIP-seq
E2F1,CDKN2A,represses,2.09,pancreas,ChIP-seq
HIF1A,MITF,activates,2.37,lung,ChIP-seq
SP1,MITF,represses,2.32,blood,ChIP-seq
HIF1A,VEGFA,activates,2.63,kidney,ChIP-seq
SP1,VEGFA,activates,1.43,brain,ChIP-seq
TBP,TNF,activates,0.51,bone_marrow,ChIP-seq
HIF1A,TNF,represses,2.4,colon,ChIP-seq
CREB1,TNF,activates,0.7,brain,ChIP-seq
E2F1,TNF,represses,0.71,bone_marrow,ChIP-seq
CTCF,IL6,activates,1.12,lung,ChIP-seq
E2F1,IL6,activates,1.14,pancreas,ChIP-seq
YY1,IL6,activates,0.51,brain,ChIP-seq
TBP,IL6,activates,1.87,ubiquitous,ChIP-seq
GATA1,INS,represses,2.23,skin,ChIP-seq
TBP,INS,represses,1.48,pancreas,ChIP-seq
E2F1,GCK,activates,1.07,ubiquitous,ChIP-seq
TBP,GCK,activates,2.66,colon,ChIP-seq
NFKB1,HNF1A,activates,2.5,bone_marrow,ChIP-seq
TBP,HNF1A,activates,2.15,skin,ChIP-seq
CREB1,HNF1A,activates,1.28,colon,ChIP-seq
YY1,F8,activates,0.74,ubiquitous,ChIP-seq
SP1,F8,activates,2.25,liver,ChIP-seq
E2F1,F8,activates,2.92,kidney,ChIP-seq
HIF1A,F8,activates,0.93,breast,ChIP-seq
NFKB1,F9,activates,0.58,skin,ChIP-seq
CREB1,F9,represses,0.73,pancreas,ChIP-seq
SP1,F9,activates,2.86,breast,ChIP-seq
E2F1,F9,represses,0.37,liver,ChIP-seq
GATA1,CYP21A2,activates,0.35,breast,ChIP-seq
NFKB1,CYP21A2,activates,1.94,muscle,ChIP-seq
CTCF,CYP21A2,represses,0.63,breast,ChIP-seq
