enhancer_id,gene,effect,fold_change,distance_bp,mechanism,tissue,confidence,evidence
APOE:Enhancer2,APOE,activates,16.4,50000,enhancer_RNA,lung,0.55,Hi-C+eQTL
APP:Enhancer1,APP,activates,10.9,120000,chromatin_looping,ubiquitous,0.82,Hi-C+eQTL
PSEN1:Enhancer1,PSEN1,activates,22.5,8000,enhancer_RNA,kidney,0.91,Hi-C+eQTL
PSEN1:Enhancer2,PSEN1,activates,19.0,30000,enhancer_RNA,pancreas,0.72,Hi-C+eQTL
SNCA:Enhancer1,SNCA,activates,18.1,25000,chromatin_looping,muscle,0.7,Hi-C+eQTL
LRRK2:Enhancer1,LRRK2,activates,12.9,8000,enhancer_RNA,breast,0.66,Hi-C+eQTL
SOD1:Enhancer1,SOD1,activates,14.2,50000,enhancer_RNA,pancreas,0.61,Hi-C+eQTL
SOD1:Enhancer2,SOD1,activates,2.2,50000,chromatin_looping,bone_marrow,0.6,Hi-C+eQTL
G6PD:Enhancer1,G6PD,activates,2.1,25000,enhancer_RNA,lung,0.78,Hi-C+eQTL
LDLR:Enhancer1,LDLR,activates,4.0,50000,enhancer_RNA,muscle,0.81,Hi-C+eQTL
LDLR:Enhancer2,LDLR,activates,5.6,8000,cohesin_mediated,ubiquitous,0.97,Hi-C+eQTL
MLH1:Enhancer1,MLH1,activates,7.6,8000,enhancer_RNA,breast,0.93,Hi-C+eQTL
MSH2:Enhancer1,MSH2,activates,8.7,12000,chromatin_looping,ubiquitous,0.56,Hi-C+eQTL
MSH2:Enhancer2,MSH2,activates,14.1,25000,cohesin_mediated,colon,0.59,Hi-C+eQTL
VHL:Enhancer1,VHL,activates,14.5,12000,cohesin_mediated,liver,0.96,Hi-C+eQTL
NF1:Enhancer1,NF1,activates,6.8,30000,cohesin_mediated,kidney,0.69,Hi-C+eQTL
NF1:Enhancer2,NF1,activates,24.8,8000,enhancer_RNA,lung,0.78,Hi-C+eQTL
NF2:Enhancer1,NF2,activates,18.1,12000,cohesin_mediated,liver,0.92,Hi-C+eQTL
NF2:Enhancer2,NF2,activates,7.7,50000,cohesin_mediated,bone_marrow,0.79,Hi-C+eQTL
TSC1:Enhancer1,TSC1,activates,8.6,8000,enhancer_RNA,brain,0.96,Hi-C+eQTL
TSC1:Enhancer2,TSC1,activates,3.4,30000,chromatin_looping,skin,0.94,Hi-C+eQTL
TSC2:Enhancer1,TSC2,activates,21.7,12000,enhancer_RNA,colon,0.7,Hi-C+eQTL
TSC2:Enhancer2,TSC2,activates,10.9,8000,cohesin_mediated,lung,0.52,Hi-C+eQTL
FBN1:Enhancer1,FBN1,activates,19.4,30000,chromatin_looping,pancreas,0.63,Hi-C+eQTL
FBN1:Enhancer2,FBN1,activates,17.9,25000,chromatin_looping,lung,0.51,Hi-C+eQTL
COL1A1:Enhancer1,COL1A1,activates,21.6,50000,enhancer_RNA,lung,0.96,Hi-C+eQTL
PAH:Enhancer1,PAH,activates,20.6,120000,enhancer_RNA,pancreas,0.98,Hi-C+eQTL
PAH:Enhancer2,PAH,activates,2.4,120000,cohesin_mediated,blood,0.97,Hi-C+eQTL
GBA:Enhancer1,GBA,activates,19.3,12000,cohesin_mediated,bone_marrow,0.52,Hi-C+eQTL
GBA:Enhancer2,GBA,activates,23.1,50000,chromatin_looping,breast,0.87,Hi-C+eQTL
SMN1:Enhancer1,SMN1,activates,23.0,30000,chromatin_looping,bone_marrow,0.61,Hi-C+eQTL
SMN1:Enhancer2,SMN1,activates,17.2,120000,enhancer_RNA,lung,0.94,Hi-C+eQTL
ATM:Enhancer1,ATM,activates,22.7,30000,enhancer_RNA,ubiquitous,0.88,Hi-C+eQTL
WT1:Enhancer1,WT1,activates,10.1,12000,chromatin_looping,pancreas,0.54,Hi-C+eQTL
MEN1:Enhancer1,MEN1,activates,18.5,25000,enhancer_RNA,breast,0.97,Hi-C+eQTL
RET:Enhancer1,RET,activates,2.6,120000,chromatin_looping,muscle,0.65,Hi-C+eQTL
RET:Enhancer2,RET,activates,22.4,8000,chromatin_looping,brain,0.69,Hi-C+eQTL
KIT:Enhancer1,KIT,activates,24.3,50000,enhancer_RNA,muscle,0.54,Hi-C+eQTL
KIT:Enhancer2,KIT,activates,24.3,25000,chromatin_looping,bone_marrow,0.89,Hi-C+eQTL
ABL1:Enhancer1,ABL1,activates,5.6,25000,cohesin_mediated,skin,0.92,Hi-C+eQTL
BCR:Enhancer1,BCR,activates,4.1,8000,cohesin_mediated,colon,0.61,Hi-C+eQTL
BCR:Enhancer2,BCR,activates,22.9,30000,cohesin_mediated,liver,0.76,Hi-C+eQTL
FLT3:Enhancer1,FLT3,activates,3.8,8000,cohesin_mediated,skin,0.56,Hi-C+eQTL
FLT3:Enhancer2,FLT3,activates,14.5,120000,chromatin_looping,bone_marrow,0.71,Hi-C+eQTL
JAK2:Enhancer1,JAK2,activates,3.8,50000,cohesin_mediated,brain,0.68,Hi-C+eQTL
IDH1:Enhancer1,IDH1,activates,3.9,12000,cohesin_mediated,kidney,0.6,Hi-C+eQTL
CDKN2A:Enhancer1,CDKN2A,activates,4.9,12000,cohesin_mediated,liver,0.7,Hi-C+eQTL
CDKN2A:Enhancer2,CDKN2A,activates,2.2,25000,cohesin_mediated,ubiquitous,0.76,Hi-C+eQTL
MITF:Enhancer1,MITF,activates,13.5,8000,enhancer_RNA,lung,0.71,Hi-C+eQTL
MITF:Enhancer2,MITF,activates,12.9,12000,cohesin_mediated,bone_marrow,0.65,Hi-C+eQTL
VEGFA:Enhancer1,VEGFA,activates,13.3,8000,cohesin_mediated,skin,0.9,Hi-C+eQTL
TNF:Enhancer1,TNF,activates,23.8,50000,enhancer_RNA,colon,0.91,Hi-C+eQTL
TNF:Enhancer2,TNF,activates,4.0,12000,enhancer_RNA,brain,0.79,Hi-C+eQTL
IL6:Enhancer1,IL6,activates,19.2,25000,cohesin_mediated,bone_marrow,0.72,Hi-C+eQTL
INS:Enhancer1,INS,activates,9.1,8000,enhancer_RNA,kidney,0.75,Hi-C+eQTL
GCK:Enhancer1,GCK,activates,10.6,12000,enhancer_RNA,colon,0.83,Hi-C+eQTL
HNF1A:Enhancer1,HNF1A,activates,9.7,30000,cohesin_mediated,bone_marrow,0.84,Hi-C+eQTL
F8:Enhancer1,F8,activates,19.5,25000,chromatin_looping,breast,0.61,Hi-C+eQTL
F8:Enhancer2,F8,activates,21.3,25000,chromatin_looping,blood,0.75,Hi-C+eQTL
F9:Enhancer1,F9,activates,23.8,8000,enhancer_RNA,breast,0.73,Hi-C+eQTL
F9:Enhancer2,F9,activates,11.3,12000,chromatin_looping,muscle,0.9,Hi-C+eQTL
CYP21A2:Enhancer1,CYP21A2,activates,24.9,30000,enhancer_RNA,colon,0.61,Hi-C+eQTL
CYP21A2:Enhancer2,CYP21A2,activates,16.8,12000,chromatin_looping,brain,0.57,Hi-C+eQTL
